cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,primary_host_time_us,primary_device_time_us,primary_peak_allocated_bytes,primary_peak_reserved_bytes,observer_cost_ms,saved_tensor_bytes,state_vjp_calls,graph_span,dependency_radius,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-0bf7e6b485283ac0df53,s3b-block-42755de60eb64ef1c30a,isolated_layer_vjp,strict,32,256,256,70,268955.2045,268952.04162597656,9388638208,9808379904,362.5429382324219,525213780.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-0ece7338e33e967ddff4,s3b-block-6e6fc3d0cd92233b34cc,isolated_layer_vjp,fixedpred,16,64,256,72,56630.240000000005,56633.460998535156,1086089728,1119879168,84.86424827575684,37807620.0,160.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-0f284443362a7cd9a1ae,s3b-block-91d8a0b7be6b9952687d,composite_vjp,strict,4,64,64,72,26804.160499999998,26808.99143218994,400173056,404750336,14.035491943359375,3475540.0,20.0,3,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-12edaaf065336c3ede0f,s3b-block-e41d3dd827629f1e6d6b,stage2_baseline,strict,16,256,64,70,98400.0205,98406.94046020508,4192680448,4278190080,157.40685653686523,119748180.0,300.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-12fc5073f0cf78de67c6,s3b-block-05df35b34dca0887086a,isolated_layer_vjp,fixedpred,8,256,64,72,28209.510000000002,28216.09401702881,2049668096,2126512128,43.64775085449219,38866436.0,80.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-14d9c8e763010817e446,s3b-block-929a1b2367208204c01f,composite_vjp,fixedpred,8,64,64,71,20179.964,20180.93967437744,471215616,476053504,9.082381248474121,8283140.0,10.0,8,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-14df16a08db62a92439b,s3b-block-1c1e8b7285564b954ea1,isolated_layer_vjp,fixedpred,32,64,256,72,113140.1195,113144.27947998047,1645472256,1681915904,173.8555450439453,65857028.0,320.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-15312f771427630917ed,s3b-block-2b2e9efa1f112a82e9a2,stage2_baseline,fixedpred,32,256,64,71,69162.11,69171.87118530273,7030854656,7161774080,152.2091178894043,29349380.0,320.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-15387b3b83396dc84bb6,s3b-block-01194f62493fd247f6f1,stage2_baseline,fixedpred,32,256,256,70,67691.7235,67693.83239746094,9391330816,9900654592,156.73658752441406,67741700.0,320.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-17346661c01f0301f1d0,s3b-block-730db41052eb8c30b0cc,stage2_baseline,strict,16,64,256,72,100779.512,100782.85217285156,1614288384,1652555776,184.9754409790039,48892500.0,300.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-1742306bd590f13f84ca,s3b-block-cef43a3b51b07d739d90,isolated_layer_vjp,strict,4,64,256,72,31355.447,31357.084274291992,667646976,696254464,37.49752616882324,11522644.0,60.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-190d3a1f6d848d26e77d,s3b-block-ee492da3396fc3e93481,stage2_baseline,strict,32,64,256,71,198502.108,198505.47790527344,2173670912,2210398208,368.1902542114258,100534868.0,620.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-19c5f392727763f5632a,s3b-block-f26a55b670864e625c9c,isolated_layer_vjp,fixedpred,16,64,64,72,57428.5505,57431.96678161621,611451904,618659840,87.37110328674316,12870660.0,160.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-19d4f40e0b543acd6fd5,s3b-block-17dd185d818e3f2bfae5,stage2_baseline,strict,32,64,64,70,199056.21850000002,199061.4471435547,1027030016,1033895936,325.3480987548828,32915540.0,620.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-19e912a73b4d79eff831,s3b-block-50d43d8828871a666303,composite_vjp,fixedpred,32,256,64,72,74624.67199999999,74631.06155395508,7030854656,7163871232,13.960395812988281,145821188.0,10.0,32,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-1c17ce5fc8970e616a81,s3b-block-ddc92b0625b483a884e3,isolated_layer_vjp,strict,8,256,64,72,65735.06899999999,65738.7466430664,2049469952,2128609280,84.14913558959961,54154836.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-1c6d187d6450d8f2271b,s3b-block-bee85bf94778cac8d0dd,composite_vjp,strict,4,256,64,70,27498.341500000002,27504.79793548584,1219898368,1268776960,14.512121200561523,20600404.0,20.0,3,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-204ea6d0a51f313761e6,s3b-block-ddc92b0625b483a884e3,composite_vjp,strict,8,256,64,72,48354.731499999994,48361.42921447754,2049469952,2128609280,16.173297882080078,54154836.0,20.0,7,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-221f2d443755bacb9c77,s3b-block-c7dd1b63aab3be279169,stage2_baseline,fixedpred,32,64,64,71,69812.911,69818.2373046875,893427200,903872512,159.26061248779297,4844036.0,320.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-22ef3d7c9db487cbaf96,s3b-block-775648ac8900099a0d48,stage2_baseline,strict,8,256,64,71,49812.054000000004,49819.14520263672,2532284928,2613051392,87.20570373535156,52639316.0,140.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-23758df22258efd9d21f,s3b-block-15e340f570301df94fc1,composite_vjp,strict,16,64,256,71,96767.118,96770.35140991211,1085137920,1117782016,19.07412338256836,50254420.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-244b214e1f4464754924,s3b-block-0e5b912a97aaa0188407,isolated_layer_vjp,fixedpred,8,64,64,72,29010.040500000003,29010.931968688965,470565888,476053504,45.024264335632324,8283140.0,80.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-244d45d9356c80813939,s3b-block-858205a4ccbe49c37e00,composite_vjp,fixedpred,8,256,64,71,20206.8335,20210.00862121582,2049668096,2128609280,8.991312026977539,38866436.0,10.0,8,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-2452870dcf052a62ffab,s3b-block-91023e2726e8438df1fa,stage2_baseline,strict,16,256,256,70,100467.6555,100470.99685668945,6869313024,7174356992,159.75353622436523,247136340.0,300.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-2479797f5bd4dfd8ba88,s3b-block-42755de60eb64ef1c30a,stage2_baseline,strict,32,256,256,70,198622.6715,198625.45013427734,11297383936,11630804992,324.73279571533203,519766100.0,620.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-249c9d7057adb087d889,s3b-block-14bf0a93a0fbe73ff031,composite_vjp,fixedpred,16,64,256,70,38182.002,38183.5880279541,1089737216,1119879168,10.61917495727539,37807620.0,10.0,16,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-257e8af1563a4a142ac8,s3b-block-a2183841e5874032a40b,stage2_baseline,fixedpred,32,256,256,71,67653.3695,67656.08978271484,9391330816,9900654592,157.59388732910156,67741700.0,320.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-2725eb696c341d8ec1cc,s3b-block-5a95fb95a9231b0407ce,stage2_baseline,strict,32,64,256,72,201565.8045,201568.00842285156,2173670912,2212495360,327.50130462646484,100534868.0,620.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-2727781f7e8c5e70f25c,s3b-block-6343adee427ef9c6c1dc,composite_vjp,fixedpred,8,256,256,71,20940.2035,20943.357467651367,2753959424,3036676096,9.145084381103516,79138820.0,10.0,8,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-278802aae0abf448a81b,s3b-block-4f8c6d282d71e7150305,isolated_layer_vjp,fixedpred,8,256,64,70,28855.1445,28858.601570129395,2049668096,2126512128,44.48139476776123,38866436.0,80.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-2867e7c34ea3ad86a755,s3b-block-91e8309340613ee72180,composite_vjp,strict,4,64,64,70,27275.961499999998,27277.169227600098,399857152,404750336,14.543571472167969,3475540.0,20.0,3,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-2877665c56f406f5c858,s3b-block-e83ff808cf35f32b4a81,stage2_baseline,strict,8,64,64,71,49332.706999999995,49334.86747741699,604359680,608174080,78.7211971282959,7356500.0,140.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-28e8ed144e5feea10881,s3b-block-14bf0a93a0fbe73ff031,stage2_baseline,fixedpred,16,64,256,70,34520.7895,34522.60208129883,1086902784,1119879168,80.27572631835938,8993796.0,160.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-295b9cf4775fa0b22341,s3b-block-cbb29f5f2dc9cf1bd0d0,stage2_baseline,strict,4,256,256,70,24643.805,24658.398628234863,3550676992,3844079616,38.240599632263184,42664020.0,60.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-2b396bb596b4ec8a99c1,s3b-block-70e5aa369c8a27e31e55,stage2_baseline,fixedpred,4,256,64,72,9486.752,9492.061138153076,1220294656,1268776960,21.549977779388428,3659268.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-2c37ed8014ece51ee602,s3b-block-ba173cd73d0e1c5d29f5,stage2_baseline,strict,4,64,256,71,24664.752,24666.653633117676,1195988992,1228931072,39.85538673400879,10160724.0,60.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-2c51a82757d9efd064d5,s3b-block-48a806186e9e1f3c3fc0,composite_vjp,strict,8,64,256,72,49798.167499999996,49799.36599731445,804398080,836763648,15.695137023925781,24433236.0,20.0,7,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-2caaeb1e7d4c0985a6eb,s3b-block-9e3031c8e1de1017d07e,isolated_layer_vjp,fixedpred,4,256,256,70,15098.9115,15103.302478790283,1644624896,1862270976,23.549335956573486,42438660.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-2cf8d0df9069dda3e91b,s3b-block-f12599dd5aadc8a26bd9,composite_vjp,strict,16,64,64,72,95387.9,95394.52743530273,611214336,616562688,19.999832153320312,16255060.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-2f5885cfc0cab2f231ac,s3b-block-6e94bca68e9ec88279a0,isolated_layer_vjp,strict,32,64,64,71,265223.149,265225.09765625,892656640,899678208,336.1363067626953,33294420.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-2f93de9f9cbf3de135de,s3b-block-17dd185d818e3f2bfae5,isolated_layer_vjp,strict,32,64,64,70,267800.33550000004,267804.38232421875,892656640,899678208,338.65928649902344,33294420.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-328fa712d6b287b0cf74,s3b-block-4fc6a712eae99f7492f7,isolated_layer_vjp,fixedpred,16,256,256,70,57225.4105,57229.08592224121,4962446848,5316280320,86.6583251953125,152539140.0,160.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-32a51f7ae0eb987ff1cd,s3b-block-730db41052eb8c30b0cc,composite_vjp,strict,16,64,256,72,96520.48499999999,96523.30017089844,1085137920,1117782016,18.743030548095703,50254420.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-350548a49fa716308a05,s3b-block-ceea80bf2a91e34a5d19,composite_vjp,fixedpred,4,256,256,71,11511.305,11515.882015228271,1651307008,1868562432,8.708754539489746,42438660.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-3526641c00f635786d92,s3b-block-408d0b1b8fa7bba85a56,stage2_baseline,strict,16,64,64,71,99714.875,99718.27697753906,745249792,750780416,186.61846160888672,15876180.0,300.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-35748a27ca1816e5b68b,s3b-block-1670e5358f7599134dc5,composite_vjp,strict,16,256,64,72,94729.7355,94736.46545410156,3709865472,3804233728,19.403480529785156,121263700.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-359941ba681aa25d4dab,s3b-block-f12599dd5aadc8a26bd9,isolated_layer_vjp,strict,16,64,64,72,131986.72,131990.2572631836,610876416,616562688,183.2221221923828,16255060.0,300.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-35f219f48d4454271ca8,s3b-block-48ba4e0d32360c38db27,isolated_layer_vjp,strict,8,64,64,70,65025.034,65032.65380859375,469986304,473956352,86.2570571899414,7735380.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3720abe98d76fa76e08a,s3b-block-dfee844b8bfb62c631e6,isolated_layer_vjp,fixedpred,32,64,256,70,113166.063,113170.76873779297,1645472256,1681915904,175.15179824829102,65857028.0,320.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3800415fe988814878de,s3b-block-ceea80bf2a91e34a5d19,isolated_layer_vjp,fixedpred,4,256,256,71,15199.408500000001,15204.208850860596,1644624896,1864368128,23.458370685577393,42438660.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-392a84bb743009080d2b,s3b-block-98eef593a40cbcdef8e7,stage2_baseline,strict,32,64,64,72,196646.6955,196649.2462158203,1027030016,1033895936,332.79027557373047,32915540.0,620.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,15021.2455,15022.26209640503,668589056,696254464,23.236355781555176,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3bb4f787dc64c195cd21,s3b-block-48a806186e9e1f3c3fc0,isolated_layer_vjp,strict,8,64,256,72,65692.09400000001,65693.88580322266,803535872,834666496,85.58616256713867,24433236.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3d29b8207a1aed98075a,s3b-block-775648ac8900099a0d48,isolated_layer_vjp,strict,8,256,64,71,65594.79699999999,65600.65460205078,2049469952,2128609280,84.70035552978516,54154836.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3d93c523e33b3ace4c1c,s3b-block-48bf63ad14fc2bc1ff7a,composite_vjp,fixedpred,16,256,64,72,39405.864499999996,39410.42709350586,3710063616,3810525184,10.478181838989258,74518020.0,10.0,16,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-3dc4e0d2aca0453ad673,s3b-block-4f8c6d282d71e7150305,stage2_baseline,fixedpred,8,256,64,70,17839.1035,17842.429161071777,2049668096,2126512128,41.255866050720215,7329284.0,80.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-3ec2b956edaf566a890a,s3b-block-d5ff53aa5589df11a40e,isolated_layer_vjp,strict,4,256,256,71,31377.504999999997,31380.861282348633,1641952768,1858076672,36.593262672424316,48111700.0,60.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3f51c4975e701d839c64,s3b-block-695189d6137415b25268,stage2_baseline,fixedpred,16,64,256,71,34241.15,34243.91174316406,1086902784,1119879168,80.69378280639648,8993796.0,160.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-411495019c2637d75c3b,s3b-block-91e8309340613ee72180,stage2_baseline,strict,4,64,64,70,24734.406000000003,24736.000061035156,534224384,538968064,39.718546867370605,3096660.0,60.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-4140e5903df3118deb4f,s3b-block-48bf63ad14fc2bc1ff7a,stage2_baseline,fixedpred,16,256,64,72,34652.2945,34659.10530090332,3710063616,3810525184,79.60245323181152,14669316.0,160.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-4435d30956546fb9fbed,s3b-block-1b87ab8a31783316765a,isolated_layer_vjp,strict,32,64,256,70,270242.456,270245.86486816406,1642609664,1679818752,375.81504821777344,101896788.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-4561541dff7c0f46154c,s3b-block-db597d2061c77097a989,composite_vjp,strict,4,64,256,70,26663.306,26664.1206741333,665271808,694157312,14.294095993041992,11522644.0,20.0,3,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-46a723a3126141114141,s3b-block-8e19192b0dad4fc3113c,stage2_baseline,fixedpred,16,256,64,70,35561.312,35564.85366821289,3710063616,3810525184,79.04174041748047,14669316.0,160.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-46d439f2d2b9ce0ea825,s3b-block-7301c6b6a4a9d50fba77,composite_vjp,fixedpred,4,256,256,72,11654.0775,11659.30700302124,1651307008,1866465280,8.79011869430542,42438660.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-475271758fe871fcf6b5,s3b-block-42755de60eb64ef1c30a,composite_vjp,strict,32,256,256,70,185468.08049999998,185469.8257446289,9404639232,9701425152,24.848716735839844,525213780.0,20.0,31,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-477d78322dedc46d7172,s3b-block-7345bcc3aa1e0e6e0517,isolated_layer_vjp,strict,8,64,256,70,65191.0095,65192.344665527344,803535872,834666496,85.62186431884766,24433236.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-481ab89126e4d1011f7f,s3b-block-f17b38a3987bce4706d1,composite_vjp,strict,16,256,256,71,94752.08600000001,94755.68389892578,4968179712,5240782848,19.1192626953125,252584020.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-48c01f50945a1c8c9787,s3b-block-b91eb1ba30f3b1df6cd1,isolated_layer_vjp,fixedpred,4,256,64,71,14834.682499999999,14840.867042541504,1220294656,1268776960,22.652256965637207,21040644.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-49d533a31006f3089f9d,s3b-block-15e340f570301df94fc1,isolated_layer_vjp,strict,16,64,256,71,130493.8675,130497.07794189453,1083227136,1117782016,183.2301254272461,50254420.0,300.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-4be2ba976012e09db964,s3b-block-321102a72410315d0551,isolated_layer_vjp,fixedpred,8,64,256,72,28715.220999999998,28715.80219268799,806398464,838860800,44.75246524810791,23782916.0,80.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-4c5139507f5619102c27,s3b-block-cef43a3b51b07d739d90,stage2_baseline,strict,4,64,256,72,24863.705,24864.490509033203,1195988992,1228931072,37.709909439086914,10160724.0,60.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-4deb1de459ab0f3a6c63,s3b-block-6bb2d4d9cc338b1ce65d,composite_vjp,fixedpred,32,64,64,72,74466.2995,74470.39794921875,894660096,901775360,14.492290496826172,22045700.0,10.0,32,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-4f8f8dff1f2c0878c8ef,s3b-block-05df35b34dca0887086a,stage2_baseline,fixedpred,8,256,64,72,18018.0945,18023.816108703613,2049668096,2126512128,41.0928955078125,7329284.0,80.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-50424a0f070f0a4990f8,s3b-block-e41d3dd827629f1e6d6b,isolated_layer_vjp,strict,16,256,64,70,132157.4375,132160.68267822266,3709865472,3806330880,182.10816955566406,121263700.0,300.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-504ef094b8da74bc104a,s3b-block-9e3031c8e1de1017d07e,stage2_baseline,fixedpred,4,256,256,70,9569.211500000001,9575.483322143555,1645437952,1855979520,21.23098373413086,9021444.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-508f373b9303293746d5,s3b-block-f26a55b670864e625c9c,stage2_baseline,fixedpred,16,64,64,72,34398.3805,34401.96990966797,611655168,618659840,80.5417366027832,2746884.0,160.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
